"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ordered Testcase Execution","0","Attempt to register with missing username","","Fri Oct 10 23:03:11 IST 2025","passed","Fri Oct 10 23:03:11 IST 2025","","","",""
"Ordered Testcase Execution","0","Schema validation for successful update user profile response","","Fri Oct 10 23:11:16 IST 2025","passed","Fri Oct 10 23:11:16 IST 2025","","","",""
"Ordered Testcase Execution","0","Update current user profile username with valid token","","Fri Oct 10 23:11:03 IST 2025","passed","Fri Oct 10 23:11:03 IST 2025","","","",""
"Ordered Testcase Execution","0","Login successfully with valid credentials","","Fri Oct 10 23:04:32 IST 2025","passed","Fri Oct 10 23:04:32 IST 2025","","","",""
"Ordered Testcase Execution","0","Register a new user successfully","","Fri Oct 10 23:10:37 IST 2025","passed","Fri Oct 10 23:10:37 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to login with missing password","","Fri Oct 10 23:05:16 IST 2025","failed","Fri Oct 10 23:05:16 IST 2025","","","",""
"Ordered Testcase Execution","0","Get current user profile with valid token","","Fri Oct 10 23:08:10 IST 2025","passed","Fri Oct 10 23:08:10 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to login with missing email","","Fri Oct 10 23:05:04 IST 2025","failed","Fri Oct 10 23:05:04 IST 2025","","","",""
"Ordered Testcase Execution","0","Register a new user successfully","","Fri Oct 10 23:02:37 IST 2025","passed","Fri Oct 10 23:02:37 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to logout with an expired token","","Fri Oct 10 23:07:02 IST 2025","passed","Fri Oct 10 23:07:02 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to register with missing password","","Fri Oct 10 23:03:36 IST 2025","passed","Fri Oct 10 23:03:36 IST 2025","","","",""
"Ordered Testcase Execution","0","Register a new user successfully","","Fri Oct 10 23:04:23 IST 2025","passed","Fri Oct 10 23:04:23 IST 2025","","","",""
"Ordered Testcase Execution","0","Logout successfully with a valid token","","Fri Oct 10 23:10:12 IST 2025","passed","Fri Oct 10 23:10:12 IST 2025","","","",""
"Ordered Testcase Execution","0","Schema validation for error response on invalid input","","Fri Oct 10 23:03:54 IST 2025","failed","Fri Oct 10 23:03:54 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to get user profile with missing token","","Fri Oct 10 23:08:47 IST 2025","passed","Fri Oct 10 23:08:47 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to login with valid email but incorrect password","","Fri Oct 10 23:04:57 IST 2025","passed","Fri Oct 10 23:04:57 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to get user profile with invalid token","","Fri Oct 10 23:09:06 IST 2025","passed","Fri Oct 10 23:09:06 IST 2025","","","",""
"Ordered Testcase Execution","0","Login successfully with valid credentials","","Fri Oct 10 23:06:01 IST 2025","passed","Fri Oct 10 23:06:01 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to logout with missing token","","Fri Oct 10 23:06:33 IST 2025","passed","Fri Oct 10 23:06:33 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to get user profile with expired token","","Fri Oct 10 23:09:25 IST 2025","failed","Fri Oct 10 23:09:25 IST 2025","","","",""
"Ordered Testcase Execution","0","Schema validation for successful registration response","","Fri Oct 10 23:02:44 IST 2025","passed","Fri Oct 10 23:02:44 IST 2025","","","",""
"Ordered Testcase Execution","0","Schema validation for unauthorized get user profile response","","Fri Oct 10 23:08:38 IST 2025","passed","Fri Oct 10 23:08:38 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to login with unregistered email","","Fri Oct 10 23:04:49 IST 2025","passed","Fri Oct 10 23:04:49 IST 2025","","","",""
"Ordered Testcase Execution","0","Schema validation for successful get user profile response","","Fri Oct 10 23:08:26 IST 2025","passed","Fri Oct 10 23:08:26 IST 2025","","","",""
"Ordered Testcase Execution","0","Register a new user successfully","","Fri Oct 10 23:05:51 IST 2025","passed","Fri Oct 10 23:05:51 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to logout with an invalid token","","Fri Oct 10 23:06:47 IST 2025","passed","Fri Oct 10 23:06:47 IST 2025","","","",""
"Ordered Testcase Execution","0","Schema validation for successful logout response","","Fri Oct 10 23:06:25 IST 2025","failed","Fri Oct 10 23:06:25 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to register with missing email","","Fri Oct 10 23:03:25 IST 2025","passed","Fri Oct 10 23:03:25 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to register with invalid email format","","Fri Oct 10 23:03:43 IST 2025","passed","Fri Oct 10 23:03:43 IST 2025","","","",""
"Ordered Testcase Execution","0","Login successfully with valid credentials","","Fri Oct 10 23:08:00 IST 2025","passed","Fri Oct 10 23:08:00 IST 2025","","","",""
"Ordered Testcase Execution","0","Register a new user successfully","","Fri Oct 10 23:07:41 IST 2025","passed","Fri Oct 10 23:07:41 IST 2025","","","",""
"Ordered Testcase Execution","0","Logout successfully with a valid token","","Fri Oct 10 23:06:15 IST 2025","passed","Fri Oct 10 23:06:15 IST 2025","","","",""
"Ordered Testcase Execution","0","Login successfully with valid credentials","","Fri Oct 10 23:10:46 IST 2025","passed","Fri Oct 10 23:10:46 IST 2025","","","",""
"Ordered Testcase Execution","0","Schema validation for successful login response","","Fri Oct 10 23:04:41 IST 2025","passed","Fri Oct 10 23:04:41 IST 2025","","","",""
"Ordered Testcase Execution","0","Attempt to register with existing email","","Fri Oct 10 23:02:59 IST 2025","passed","Fri Oct 10 23:02:59 IST 2025","","","",""
"Ordered Testcase Execution","0","Schema validation for unauthorized logout response","","Fri Oct 10 23:07:10 IST 2025","passed","Fri Oct 10 23:07:10 IST 2025","","","",""
"Ordered Testcase Execution","0","Schema validation for unauthorized login response","","Fri Oct 10 23:05:26 IST 2025","passed","Fri Oct 10 23:05:26 IST 2025","","","",""
